canonical_smiles,pIC50
NC1=NC2(CCO1)c1cc(NC(=O)c3cnc(Cl)cn3)ccc1Oc1c2cc(-c2cncc(F)c2)nc1F,9.22
CC(C)C[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)[C@@H](N)CCC(=O)O)C(C)C)[C@@H](O)C[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,9.22
C[C@]1(c2cc(NC(=O)c3ncc(Cl)cc3Cl)ccc2F)N=C(N)OC[C@@H]1F,9.22
CC#Cc1cncc(-c2ccc3c(c2)[C@@]2(N=C(C)C(N)=N2)[C@]2(CC[C@H](OC)CC2)C3)c1,9.22
COC1CCC2(CC1)Cc1ccc(-c3ccc(F)c(Cl)c3)cc1C21N=C(N)N(C)C1=O,9.22
CN1C(=O)C[C@]2(N=C1N)c1cc(-c3cccnc3F)ccc1Oc1c2cc(C2=CC(C)(C)OCC2)nc1F,9.22
NC1=N[C@@]2(CO1)c1cc(-c3cccnc3F)ccc1Oc1cnc(N3CCC(F)(F)C3)cc12,9.22
NC1=N[C@@]2(c3cc(-c4cccnc4F)ccc3Oc3c(F)cc([N+]4=CCOCC4)cc32)c2nccn21,9.22
C[C@]1(c2cc(NC(=O)c3ccc(Cl)cn3)cc(F)c2F)N=C(N)S[C@@]2(C(N)=O)C[C@H]21,9.22
CC(C)(C)COc1cnc2c(c1)[C@]1(COC(N)=N1)c1cc(-c3cccnc3)ccc1O2,9.22
N#Cc1ccc(C(=O)Nc2ccc3c(c2)C2(CCOC(N)=N2)c2cc(-c4ccnc(F)c4)nc(F)c2O3)nc1,9.22
C#CCOc1cnc(C(=O)Nc2cc(F)c(F)c([C@@]3(CF)N=C(N)S[C@H]4C[C@H]43)c2)cn1,9.22
Cc1cc(C#N)cnc1C(=O)Nc1ccc(F)c([C@@]2(C)N=C(N)C(C)(C)[S@@]3(=O)=NCC[C@@H]23)n1,9.22
NC1=N[C@@](c2cccc(-c3cncnc3)c2)(c2ccnc(C(F)F)c2)c2cccc(F)c21,9.22
Cc1nc(C(=O)Nc2ccc3c(c2)C2(CCOC(N)=N2)c2cc(-c4cncc(F)c4)nc(F)c2O3)cs1,9.22
NC1=N[C@@]2(CO1)c1cc(NC(=O)c3ccc(Cl)cn3)ccc1Oc1cnc(C3=CCCOC3)cc12,9.21
COc1cc(/C=C/c2nnc(-c3ccc(F)cc3F)o2)ccc1O,9.21
COc1cnc(C(=O)Nc2ccc(F)c([C@]34CN(c5ncc(F)cn5)C[C@H]3CSC(N)=N4)c2)cn1,9.21
